담당자,담당순위,route_type,route_no,route_name,n_stops,n_districts,importance_score,district_names
A,1,간선버스,CWB379001050,덕동공영차고지 ↔ 대방동종점,154,26,568.0,"가음정동, 가포동, 교방동, 구암2동, 명곡동, 문화동, 반송동, 반월중앙동, 봉림동, 사파동, 산호동, 상남동, 석전동, 양덕1동, 양덕2동, 완월동, 용지동, 월영동, 의창동, 자산동, 중앙동, 팔룡동, 합성2동, 현동, 회원1동, 회원2동"
B,1,좌석버스,CWB379030060,신항파출소 ↔ 국립창원대학교정문,107,17,491.0,"가음정동, 덕산동, 반송동, 봉림동, 사파동, 상남동, 석동, 성주동, 용지동, 웅동1동, 웅동2동, 웅천동, 이동, 자은동, 중앙동, 팔룡동, 풍호동"
C,1,좌석버스,CWB379030020,신항파출소 ↔ 마산대학교종점,102,18,486.0,"경화동, 내서읍, 덕산동, 병암동, 봉암동, 석전동, 양덕1동, 양덕2동, 여좌동, 웅남동, 웅동1동, 웅동2동, 웅천동, 이동, 충무동, 풍호동, 합성1동, 회성동"
D,1,간선버스,CWB379001100,성주사역 환승센터 ↔ 마산대학교종점,168,14,476.0,"가음정동, 구암1동, 구암2동, 내서읍, 명곡동, 봉림동, 사파동, 석전동, 성주동, 용지동, 팔룡동, 합성1동, 합성2동, 회성동"
A,2,간선버스,CWB379001140,안계초등학교 ↔ 청솔아파트종점,154,15,458.0,"가음정동, 교방동, 내서읍, 봉암동, 산호동, 석전동, 성주동, 양덕2동, 오동동, 웅남동, 중앙동, 팔룡동, 합포동, 회성동, 회원1동"
B,2,간선버스,CWB379001630,덕동공영차고지 ↔ 상리마을,125,20,450.0,"가포동, 경화동, 덕산동, 문화동, 반월중앙동, 병암동, 봉암동, 산호동, 양덕2동, 여좌동, 오동동, 완월동, 웅남동, 월영동, 이동, 충무동, 태백동, 풍호동, 합포동, 현동"
C,2,좌석버스,CWB379007400,"대방동성아파트 ↔ 경남대,서중학교",82,17,416.0,"문화동, 반송동, 반월중앙동, 봉림동, 봉암동, 사파동, 산호동, 성주동, 양덕2동, 오동동, 완월동, 용지동, 웅남동, 월영동, 중앙동, 팔룡동, 합포동"
D,2,지선버스,CWB379000210,"경남대,서중학교 ↔ 초소",160,17,330.0,"구암1동, 구암2동, 문화동, 반월중앙동, 북면, 산호동, 석전동, 양덕1동, 양덕2동, 오동동, 완월동, 월영동, 의창동, 팔룡동, 합성1동, 합성2동, 합포동"
A,3,간선버스,CWB379001500,인의동터미널 ↔ 창원중앙역A,118,9,326.0,"가음정동, 봉림동, 상남동, 성주동, 여좌동, 용지동, 웅남동, 중앙동, 충무동"
B,3,간선버스,CWB379001620,인의동터미널 ↔ 소계종점,89,11,288.0,"구암1동, 봉암동, 석전동, 양덕1동, 양덕2동, 여좌동, 웅남동, 의창동, 충무동, 합성1동, 합성2동"
C,3,좌석버스,CWB379030010,STX칸1차아파트후문 ↔ 대방동종점,64,9,282.0,"가음정동, 명곡동, 반송동, 북면, 사파동, 상남동, 용지동, 중앙동, 팔룡동"
D,3,지선버스,CWB379000770,마산역종점 ↔ 시락정곡종점,140,13,270.0,"교방동, 문화동, 반월중앙동, 석전동, 오동동, 완월동, 월영동, 진동면, 진북면, 진전면, 합포동, 현동, 회원1동"
