route_id,route_no,route_name,route_type,direction,sequence,stop_id,stop_name,bis_number,latitude,longitude,sigungu,district_name,담당자,담당순위
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,1,CWB379003339,덕동공영차고지,322612,35.1362934,128.5635658,창원시마산합포구,현동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,2,CWB379001624,묘촌입구,322602,35.1412798,128.5604025,창원시마산합포구,현동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,3,CWB379001587,현동초등학교,322603,35.1471516,128.5576067,창원시마산합포구,현동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,4,CWB379003338,현동LH아파트,322611,35.1519728,128.5535186,창원시마산합포구,현동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,5,CWB379001545,시립마산요양병원,322609,35.1536049,128.5513636,창원시마산합포구,현동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,6,CWB379001508,우산마을,306612,35.1583227,128.5538513,창원시마산합포구,현동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,7,CWB379006154,청량산터널앞,300638,35.1684454,128.561119,창원시마산합포구,가포동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,8,CWB379001452,고운초등학교,300628,35.1717894,128.5619677,창원시마산합포구,월영동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,9,CWB379001441,월영1차아파트,314702,35.1743086,128.5591801,창원시마산합포구,월영동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,10,CWB379001437,해운초등학교,314704,35.1757661,128.558648,창원시마산합포구,월영동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,11,CWB379001419,"경남대,서중학교",300636,35.1791669,128.5584661,창원시마산합포구,월영동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,12,CWB379001394,문화동,300106,35.1842462,128.5602673,창원시마산합포구,문화동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,13,CWB379001385,평화아파트,301102,35.1860076,128.5579773,창원시마산합포구,문화동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,14,CWB379001370,제일여고,301104,35.1879694,128.5575532,창원시마산합포구,문화동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,15,CWB379001343,마산중앙고등학교,301106,35.1906504,128.5589862,창원시마산합포구,반월중앙동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,16,CWB379001327,신월경남아파트,301108,35.1930122,128.561077,창원시마산합포구,반월중앙동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,17,CWB379001294,마산여고,301110,35.1968514,128.5620922,창원시마산합포구,완월동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,18,CWB379001282,완월동,301112,35.1981014,128.5622722,창원시마산합포구,완월동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,19,CWB379001256,한우아파트,315702,35.2010532,128.5595652,창원시마산합포구,자산동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,20,CWB379001176,약수터,306114,35.206005,128.5615467,창원시마산합포구,자산동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,21,CWB379003379,합포고등학교,306120,35.2086579,128.5636701,창원시마산합포구,교방동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,22,CWB379001088,서원곡입구,306116,35.2114821,128.5632043,창원시마산합포구,교방동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,23,CWB379001047,마산성로원,306118,35.2137391,128.5622032,창원시마산합포구,교방동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,24,CWB379001008,롯데캐슬프리미어아파트,422901,35.216089,128.564477,창원시마산합포구,교방동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,25,CWB379000983,회원신협,423002,35.2184326,128.5649448,창원시마산회원구,회원2동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,26,CWB379000978,회원초등학교,423004,35.2184834,128.5671412,창원시마산회원구,회원2동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,27,CWB379000956,동중입구,407221,35.2196053,128.5708317,창원시마산회원구,회원1동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,28,CWB379000909,동중후문,407219,35.2222885,128.5710904,창원시마산회원구,회원1동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,29,CWB379000882,석전사거리,407217,35.2242974,128.5711982,창원시마산회원구,회원1동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,30,CWB379000848,석전동,400108,35.2273123,128.5741788,창원시마산회원구,석전동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,31,CWB379000389,3.15아트센터,408608,35.2267199,128.5770923,창원시마산회원구,양덕2동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,32,CWB379000873,문화방송,408610,35.2248543,128.5795109,창원시마산회원구,양덕2동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,33,CWB379000903,야구장앞홈플러스,308601,35.2222148,128.5849428,창원시마산합포구,산호동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,34,CWB379000918,자유무역지역후문,407102,35.2212864,128.59076,창원시마산회원구,양덕2동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,35,CWB379000906,봉덕초등학교,411213,35.2222088,128.5929463,창원시마산회원구,양덕2동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,36,CWB379000884,팔룡산돌탑공원입구,411211,35.2239331,128.5911579,창원시마산회원구,양덕2동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,37,CWB379000854,정우맨션,411209,35.2263343,128.5892213,창원시마산회원구,양덕2동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,38,CWB379000828,타워맨션,411205,35.2287485,128.5861293,창원시마산회원구,양덕1동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,39,CWB379000778,양덕1동행정복지센터,420602,35.2317444,128.5862812,창원시마산회원구,양덕1동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,40,CWB379000750,양덕초등학교,420604,35.2334046,128.5874334,창원시마산회원구,양덕1동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,41,CWB379000733,서안양덕타운,420606,35.2348964,128.5885662,창원시마산회원구,양덕1동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,42,CWB379000695,마산동부경찰서,420608,35.2372904,128.5891902,창원시마산회원구,합성2동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,43,CWB379002395,우리누리청소년문화센터,420610,35.2404694,128.589884,창원시마산회원구,합성2동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,44,CWB379000626,삼성창원병원,420612,35.2426364,128.5910482,창원시마산회원구,합성2동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,45,CWB379000561,구암고등학교,420614,35.2465191,128.5947068,창원시마산회원구,구암2동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,46,CWB379000514,창신대학교입구,420616,35.2484597,128.5984063,창원시마산회원구,구암2동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,47,CWB379000506,청소년복지회관.창신대학,420618,35.2487659,128.601015,창원시마산회원구,구암2동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,48,CWB379000499,차룡단지,120602,35.2495177,128.6081181,창원시의창구,팔룡동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,49,CWB379000448,팔룡동,120604,35.2527404,128.6109002,창원시의창구,팔룡동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,50,CWB379000429,팔룡동행정복지센터,120606,35.255383,128.613313,창원시의창구,팔룡동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,51,CWB379000396,창원여중,120608,35.2589124,128.6165122,창원시의창구,의창동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,52,CWB379000367,윤병원,115310,35.2613931,128.6209841,창원시의창구,의창동,A,1
69,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,상행,53,CWB379000369,의창동환승센터,115312,35.2612419,128.6244038,창원시의창구,의창동,A,1
