rank,route_no,route_name,route_type,n_stops,type_weight,importance_score
1,CWB379001050,덕동공영차고지 ↔ 대방동종점,간선버스,154,2.0,568.0
2,CWB379007300,청솔아파트종점 ↔ 덕동공영차고지,좌석버스,114,3.0,552.0
3,CWB379001020,해운중학교종점 ↔ 청솔아파트종점,간선버스,153,2.0,536.0
4,CWB379007200,대방동종점 ↔ 덕동공영차고지,좌석버스,106,3.0,528.0
5,CWB379001090,"경남대,서중학교 ↔ 대우1차아파트",간선버스,135,2.0,510.0
6,CWB379001220,대방동성아파트 ↔ 가포고등학교,간선버스,146,2.0,502.0
7,CWB379001010,월영1차아파트 ↔ 불모산종점,간선버스,149,2.0,498.0
8,CWB379007100,불모산종점 ↔ 마산대학교종점,좌석버스,106,3.0,498.0
9,CWB379001000,월영1차아파트 ↔ 대방동종점,간선버스,138,2.0,496.0
10,CWB379050000,불모산종점 ↔ 월영동공원,간선버스,127,2.0,494.0
11,CWB379030060,신항파출소 ↔ 국립창원대학교정문,좌석버스,107,3.0,491.0
12,CWB379030020,신항파출소 ↔ 마산대학교종점,좌석버스,102,3.0,486.0
13,CWB379001030,성주사역 환승센터 ↔ 가포고등학교,간선버스,131,2.0,482.0
14,CWB379001100,성주사역 환승센터 ↔ 마산대학교종점,간선버스,168,2.0,476.0
15,CWB379001110,성주사역 환승센터 ↔ 안계초등학교,간선버스,161,2.0,472.0
16,CWB379001060,월영1차아파트 ↔ 불모산종점,간선버스,134,2.0,458.0
17,CWB379001140,안계초등학교 ↔ 청솔아파트종점,간선버스,154,2.0,458.0
18,CWB379001630,덕동공영차고지 ↔ 상리마을,간선버스,125,2.0,450.0
19,CWB379001130,대방동종점 ↔ 평성종점,간선버스,133,2.0,446.0
20,CWB379001640,"경남대,서중학교 ↔ 행암입구",간선버스,121,2.0,442.0
21,CWB379060000,성주사역 환승센터 ↔ 덕동공영차고지,좌석버스,77,3.0,441.0
22,CWB379001160,마산대학교종점 ↔ 불모산종점,간선버스,145,2.0,440.0
23,CWB379001080,대방동종점 ↔ 가포고등학교,간선버스,119,2.0,428.0
24,CWB379001150,청솔아파트종점 ↔ 평성종점,간선버스,137,2.0,424.0
25,CWB379007400,"대방동성아파트 ↔ 경남대,서중학교",좌석버스,82,3.0,416.0
26,CWB379000611,마산역종점 ↔ 조밭골,간선버스,136,2.0,402.0
27,CWB379001070,월영1차아파트 ↔ 불모산종점,간선버스,124,2.0,398.0
28,CWB379000410,"경남대,서중학교 ↔ 본포마을회관",지선버스,195,1.0,385.0
29,CWB379000641,유니시티2단지 ↔ 진동환승센터,지선버스,182,1.0,372.0
30,CWB379001600,인의동터미널 ↔ 덕동공영차고지,간선버스,110,2.0,370.0
31,CWB379001510,행암입구 ↔ 종합터미널,간선버스,103,2.0,366.0
32,CWB379001550,행암입구 ↔ 태광주유소,간선버스,107,2.0,364.0
33,CWB379000400,"경남대,서중학교 ↔ 북모산마을",지선버스,171,1.0,361.0
34,CWB379007700,국립창원대학교정문 ↔ 장유고등학교,좌석버스,86,3.0,348.0
35,CWB379000490,"경남대,서중학교 ↔ 유등종점",지선버스,178,1.0,348.0
36,CWB379000659,유니시티2단지 ↔ 로봇랜드(입구),지선버스,155,1.0,345.0
37,CWB379000220,가포LH1단지 ↔ 명촌,지선버스,182,1.0,332.0
38,CWB379000658,유니시티2단지 ↔ 명주,지선버스,142,1.0,332.0
39,CWB379000210,"경남대,서중학교 ↔ 초소",지선버스,160,1.0,330.0
40,CWB379001500,인의동터미널 ↔ 창원중앙역A,간선버스,118,2.0,326.0
41,CWB379030000,불모산종점 ↔ 가촌마을,좌석버스,82,3.0,326.0
42,CWB379000650,유니시티2단지 ↔ 명주,지선버스,131,1.0,321.0
43,CWB379000420,"경남대,서중학교 ↔ 송정종점",지선버스,130,1.0,320.0
44,CWB379000270,가포고등학교 ↔ 북면종점,지선버스,162,1.0,312.0
45,CWB379001560,행암입구 ↔ 국립창원대학교정문,간선버스,104,2.0,308.0
46,CWB379000450,"경남대,서중학교 ↔ 신용삼거리",지선버스,127,1.0,307.0
47,CWB379002608,저도비치로드 ↔ 소계종점,지선버스,145,1.0,305.0
48,CWB379000240,덕동공영차고지 ↔ 북면종점,지선버스,138,1.0,298.0
49,CWB379002609,수정시내버스환승센터 ↔ 소계종점,지선버스,138,1.0,298.0
50,CWB379000230,"경남대,서중학교 ↔ 남백마을종점",지선버스,125,1.0,295.0
51,CWB379000200,"경남대,서중학교 ↔ 북면종점",지선버스,125,1.0,295.0
52,CWB379002639,수정시내버스환승센터 ↔ 소계종점,지선버스,133,1.0,293.0
53,CWB379000310,대방동성아파트 ↔ 본포마을회관,지선버스,181,1.0,291.0
54,CWB379002630,수정시내버스환승센터 ↔ 소계종점,지선버스,129,1.0,289.0
55,CWB379001620,인의동터미널 ↔ 소계종점,간선버스,89,2.0,288.0
56,CWB379000730,마산역종점 ↔ 서북동마을,지선버스,128,1.0,288.0
57,CWB379003150,속천종점 ↔ 부영4단지,지선버스,156,1.0,286.0
58,CWB379000440,"경남대,서중학교 ↔ 무점종점",지선버스,106,1.0,286.0
59,CWB379002600,수정시내버스환승센터 ↔ 소계종점,지선버스,124,1.0,284.0
60,CWB379000640,마산역종점 ↔ 진동환승센터,지선버스,152,1.0,282.0
61,CWB379030010,STX칸1차아파트후문 ↔ 대방동종점,좌석버스,64,3.0,282.0
62,CWB379000110,대방동성아파트 ↔ 내봉촌,지선버스,170,1.0,280.0
63,CWB379000760,마산역종점 ↔ 둔덕종점,지선버스,136,1.0,276.0
64,CWB379000770,마산역종점 ↔ 시락정곡종점,지선버스,140,1.0,270.0
65,CWB379000610,마산역종점 ↔ 저도비치로드,지선버스,138,1.0,268.0
66,CWB379000750,마산역종점 ↔ 상평종점,지선버스,127,1.0,267.0
67,CWB379002500,덕동공영차고지 ↔ 호곡,지선버스,155,1.0,265.0
68,CWB379000140,대방동성아파트 ↔ 명촌,지선버스,152,1.0,262.0
69,CWB379000460,"경남대,서중학교 ↔ 용잠.동읍행정복지센터",지선버스,92,1.0,262.0
70,CWB379000130,대방동성아파트 ↔ 북면종점,지선버스,150,1.0,260.0
71,CWB379000300,대방동성아파트 ↔ 북면종점,지선버스,148,1.0,258.0
72,CWB379000120,대방동성아파트 ↔ 북면종점,지선버스,147,1.0,257.0
73,CWB379030030,창원종합터미널 ↔ 진동환승센터,좌석버스,45,3.0,255.0
74,CWB379000170,불모산종점 ↔ 북면종점,지선버스,154,1.0,254.0
75,CWB379002620,덕동공영차고지 ↔ 소계종점,지선버스,112,1.0,252.0
76,CWB379003050,속천종점 ↔ 부영4단지,지선버스,140,1.0,250.0
77,CWB379000620,마산역종점 ↔ 원전종점,지선버스,129,1.0,249.0
78,CWB379000320,대방동성아파트 ↔ 상리,지선버스,138,1.0,248.0
79,CWB379000710,진동면허시험장 ↔ 창원역,지선버스,98,1.0,248.0
80,CWB379002540,덕동공영차고지 ↔ 마산대학교종점,지선버스,126,1.0,246.0
81,CWB379000700,진동환승센터 ↔ 창원역,지선버스,96,1.0,246.0
82,CWB379001520,국립창원대학교정문 ↔ 인의동터미널,간선버스,82,2.0,244.0
83,CWB379030059,로봇랜드(출구) ↔ 국립창원대학교정문,좌석버스,51,3.0,243.0
84,CWB379002570,덕동공영차고지 ↔ 석교종점,지선버스,120,1.0,240.0
85,CWB379002120,불모산종점 ↔ 소계종점,지선버스,119,1.0,239.0
86,CWB379002580,덕동공영차고지 ↔ 마산대학교종점,지선버스,118,1.0,238.0
87,CWB379000720,마산역종점 ↔ 대현종점.용광사,지선버스,108,1.0,238.0
88,CWB379030050,수정시내버스환승센터 ↔ 국립창원대학교정문,좌석버스,49,3.0,237.0
