위도,경도,정류장ID,정류장명,정류장번호,경유순서,노선ID,상하행구분
35.36709605,128.6740781,CWB379003142,신전,103719,1,CWB379000010,0
35.36602048,128.6777968,CWB379000045,상리,100702,2,CWB379000010,0
35.36653344,128.6809755,CWB379000041,갈전운동장,100703,3,CWB379000010,0
35.3679376,128.6840827,CWB379000022,일동회관,100705,4,CWB379000010,0
35.36786449,128.6879092,CWB379000027,일동초등학교,103707,5,CWB379000010,0
35.36764786,128.6914823,CWB379003112,당리,103718,6,CWB379000010,0
35.36764644,128.6961267,CWB379000026,신성,103710,7,CWB379000010,0
35.36699972,128.69972118,CWB379000032,제1수산교,103711,8,CWB379000010,0
35.36488985,128.70459473,CWB379003282,아름다운요양원,123019,9,CWB379000010,0
35.36235582,128.7075771,CWB379003253,신성주유소,103726,10,CWB379000010,0
35.35845392,128.7117882,CWB379002018,남모산종점,103712,11,CWB379000010,0
35.35746019,128.7128277,CWB379000068,북모산마을,103714,12,CWB379000010,0
35.35455276,128.7116116,CWB379000073,남모산,630009,13,CWB379000010,0
35.34762294,128.7095608,CWB379000108,송등,118005,14,CWB379000010,0
35.33866319,128.7087949,CWB379000141,대산초등학교,118003,15,CWB379000010,0
35.33516263,128.7088864,CWB379000153,가술,118001,16,CWB379000010,0
35.33254437,128.7088713,CWB379003024,제동마을,630257,17,CWB379000010,0
35.33240453,128.7076453,CWB379003105,삼봉마을,116402,18,CWB379000010,0
35.33347479,128.7049026,CWB379003384,대산119안전센터,106824,19,CWB379000010,0
35.33541892,128.7017388,CWB379000151,가촌,106819,20,CWB379000010,0
35.33540503,128.6985038,CWB379003401,세진테크원.에스케이지르콘,106826,21,CWB379000010,0
35.3333842,128.7020192,CWB379003369,대산일반산업단지,106821,22,CWB379000010,0
35.33056958,128.7027359,CWB379003531,장등입구,116517,23,CWB379000010,0
35.32907794,128.70499402,CWB379002017,장등,116513,24,CWB379000010,0
35.3236771,128.701118,CWB379002015,상등,116511,25,CWB379000010,0
35.32086303,128.6985482,CWB379002013,신등초등학교,116509,26,CWB379000010,0
35.31561672,128.6942331,CWB379000198,주남,116507,27,CWB379000010,0
35.30915734,128.691649,CWB379003015,판신마을,630249,28,CWB379000010,0
35.30763212,128.6863315,CWB379000211,판신,116505,29,CWB379000010,0
35.30597605,128.6808398,CWB379003013,동월마을,630247,30,CWB379000010,0
35.30495105,128.6783359,CWB379000220,주남저수지,116503,31,CWB379000010,0
35.30386562,128.6750688,CWB379000224,가월마을입구,116501,32,CWB379000010,0
35.3026771,128.67292,CWB379003113,가월윗담,116403,33,CWB379000010,0
35.29975911,128.670303,CWB379003377,주남삼거리,104659,34,CWB379000010,0
35.29772298,128.6724266,CWB379000240,다호,104609,35,CWB379000010,0
35.29348343,128.67556063,CWB379000247,모암,104607,36,CWB379000010,0
35.29144504,128.67584287,CWB379000255,칠성아파트,104605,37,CWB379000010,0
35.28569098,128.68037624,CWB379000270,신방,104603,38,CWB379000010,0
35.28362932,128.68233121,CWB379000277,용잠.동읍행정복지센터,104601,39,CWB379000010,0
35.27884494,128.6842173,CWB379003115,덕천마을,104651,40,CWB379000010,0
35.27722131,128.6842029,CWB379000295,용잠삼거리,115325,41,CWB379000010,0
