종점,막차,노선ID,노선번호,노선유형,기점,첫차
창원역,2210,CWB379000010,1,마을버스,신전,0540
창원역,2145,CWB379000020,2,마을버스,유등,0720
진영시외주차장,1655,CWB379000030,3,마을버스,상리,0755
자여입구,2300,CWB379000070,7,마을버스,창원역,0617
삼성창원병원종점(8),2240,CWB379000080,8,마을버스,창원역,0600
북면종점,2200,CWB379000100,10,지선버스,대방동성아파트,0605
내봉촌,2110,CWB379000110,11,지선버스,대방동성아파트,0920
북면종점,2005,CWB379000120,12,지선버스,대방동성아파트,0510
북면종점,2035,CWB379000130,13,지선버스,대방동성아파트,0535
명촌,2025,CWB379000140,14,지선버스,대방동성아파트,0525
명촌2,1940,CWB379000150,15,지선버스,창원역,0520
북면종점,2231,CWB379000170,17,지선버스,불모산종점,0500
STX칸1차아파트후문,2200,CWB379000190,19,지선버스,소계종점,0600
북면종점,2205,CWB379000200,20,지선버스,"경남대,서중학교",0600
초소,2200,CWB379000210,21,지선버스,"경남대,서중학교",0610
명촌,2105,CWB379000220,22,지선버스,가포LH1단지,0520
남백마을종점,2010,CWB379000230,23,지선버스,"경남대,서중학교",0550
북면종점,2210,CWB379000240,24,지선버스,덕동공영차고지,0500
북면종점,2240,CWB379000270,27,지선버스,가포고등학교,0500
북면종점,2210,CWB379000300,30,지선버스,대방동성아파트,0530
본포마을회관,2040,CWB379000310,31,지선버스,대방동성아파트,0537
상리,2130,CWB379000320,32,지선버스,대방동성아파트,0530
북면종점,2130,CWB379000330,33,지선버스,,0720
무점종점,2130,CWB379000340,34,지선버스,대방동성아파트,0540
무점종점,2000,CWB379000350,35,지선버스,대방동성아파트,0545
유등종점,2000,CWB379000360,36,지선버스,창원역,0640
우성아파트,2150,CWB379000370,37,지선버스,가술,0700
북모산마을,2055,CWB379000400,40,지선버스,"경남대,서중학교",0610
본포마을회관,1835,CWB379000410,41,지선버스,"경남대,서중학교",0530
송정종점,2135,CWB379000420,42,지선버스,"경남대,서중학교",0845
무점종점,2000,CWB379000440,44,지선버스,"경남대,서중학교",0555
신용삼거리,1940,CWB379000450,45,지선버스,"경남대,서중학교",0530
용잠.동읍행정복지센터,2100,CWB379000460,46,지선버스,"경남대,서중학교",0610
유등종점,2000,CWB379000490,49,지선버스,"경남대,서중학교",0535
안계종점,2225,CWB379000500,50,지선버스,월영1차아파트,0600
신목종점,2145,CWB379000510,51,지선버스,월영1차아파트,0510
진동환승센터,2250,CWB379000731,73-1,지선버스,월안마을,0650
정곡종점,2100,CWB379000740,74,지선버스,마산역종점,0730
정곡종점,2220,CWB379000741,74-1,지선버스,진동환승센터,0635
상평종점,2000,CWB379000750,75,지선버스,마산역종점,0835
진동환승센터,2030,CWB379000751,75-1,지선버스,둔덕종점,0715
진동환승센터,2220,CWB379000759,75-2,지선버스,상평종점,0700
둔덕종점,2145,CWB379000760,76,지선버스,마산역종점,0755
시락정곡종점,2030,CWB379000770,77,지선버스,마산역종점,0750
시락정곡종점,2210,CWB379000771,77-1,지선버스,진동환승센터,0740
선두종점,2205,CWB379000780,78,지선버스,마산역종점,0700
