위도,경도,정류장ID,정류장명,정류장번호
35.11628538,128.70108832,CWB379002479,행암동,522312
35.1162647,128.70095627,CWB379002480,행암동종점,522311
35.11379951,128.7000576,CWB379002481,예비군관리대,522310
35.11367179,128.7000264,CWB379002482,예비군관리대,522309
35.10936391,128.7035749,CWB379002484,합계마을,522308
35.10931121,128.7034563,CWB379002485,합계마을,522307
35.10655109,128.7062654,CWB379002487,수치,522306
35.10648881,128.7061439,CWB379002488,수치,522305
35.10790724,128.7083095,CWB379002489,케이조선서문,522303
35.10794479,128.7080033,CWB379002490,케이조선서문,522304
35.11193143,128.7161012,CWB379002491,케이조선북문,522301
35.11178431,128.71591068,CWB379002492,케이조선북문,522302
35.11049049,128.7194519,CWB379002494,케이조선정문,505501
35.11061413,128.7193497,CWB379002495,케이조선정문,505502
35.1047582,128.7165057,CWB379002496,죽곡마을,505503
35.10476383,128.7163406,CWB379002497,죽곡마을,505504
35.10106732,128.717686,CWB379002498,오리엔탈정공,505505
35.10100999,128.7174835,CWB379002499,오리엔탈정공,505506
35.09834466,128.717598,CWB379002500,명동입구,505508
35.09816343,128.7179628,CWB379002501,명동입구,505507
35.09753564,128.7194013,CWB379002502,명동,505510
35.09764759,128.7194123,CWB379002503,명동,505509
35.09773441,128.722281,CWB379002504,해양공원입구,505511
35.09754401,128.7226379,CWB379002505,해양공원입구,505512
35.09541171,128.7281015,CWB379002506,삼포입구,505514
35.09535236,128.7279176,CWB379002507,삼포,505513
35.09678553,128.7311388,CWB379002508,삼포노래비,505516
35.09695905,128.7314105,CWB379002509,삼포노래비,505515
35.10037473,128.742951,CWB379002511,괴정.제덕,505604
35.100225,128.7429096,CWB379002512,괴정.제덕,505603
35.1018777,128.7443564,CWB379002514,제덕만택지,505602
35.10206627,128.7442879,CWB379002515,제덕만택지,505601
35.10732933,128.75077168,CWB379002518,남문동,513902
35.11019277,128.751843,CWB379002520,웅천시장입구,513904
35.11017751,128.75168532,CWB379002522,웅천시장입구,513903
35.11214381,128.7516502,CWB379002523,웅천우체국,513905
35.11367408,128.7502066,CWB379002525,웅천성내,514006
35.11367648,128.7490438,CWB379002527,웅천성내,514007
35.1133895,128.7479654,CWB379002528,웅천치안센터,514005
35.11312999,128.7411081,CWB379002530,서중소류지,514003
35.11298937,128.7406822,CWB379002531,서중소류지,514004
35.11118368,128.7319895,CWB379002532,천자봉공원묘원,514002
35.11127143,128.7316112,CWB379002533,천자봉공원묘원,514001
35.11203446,128.7252453,CWB379002535,죽곡입구,518152
35.11344385,128.7235705,CWB379002537,케이조선입구,518149
35.11277634,128.7247747,CWB379002538,케이조선입구,518150
35.12016186,128.7168005,CWB379002540,만남의광장,518147
35.12058143,128.7152112,CWB379002541,만남의광장,518148
35.12530084,128.7120529,CWB379002543,상리마을,518145
35.12556635,128.71176812,CWB379002544,상리마을,518146
35.13004293,128.7095976,CWB379002545,진해구청,518143
35.12971998,128.70944714,CWB379002546,노인주간보호센터,519847
35.13063091,128.7090786,CWB379002547,진해구청.장전주유소,518144
35.15469082,128.6731244,CWB379002551,중앙초교후문,504004
35.15482069,128.67302745,CWB379002552,중앙초교후문,504003
35.15591576,128.6740713,CWB379002553,원창시인의마을,520202
35.15604514,128.6740757,CWB379002554,원창시인의마을,520201
35.15961514,128.6799932,CWB379002555,경화포스코,516402
35.15954465,128.6797601,CWB379002556,경화포스코,516401
35.16091587,128.6810826,CWB379002557,경화대동다숲,516404
35.16099864,128.6809769,CWB379002558,경화대동다숲,516403
35.16116158,128.6833698,CWB379002559,삼정코아,516406
35.16128549,128.6830941,CWB379002560,삼정코아,516405
35.16096615,128.6849148,CWB379002562,경화두산위브아파트,516303
35.1610408,128.6850883,CWB379002563,경화두산위브아파트,516304
35.15925071,128.6841943,CWB379002564,경화가압장,516302
35.15940443,128.6840822,CWB379002565,경화가압장,516301
35.15906291,128.6976974,CWB379002567,안민터널,522205
35.15644815,128.6978881,CWB379002569,우림필유,522204
35.1562804,128.6976636,CWB379002570,우림필유,522203
35.15351647,128.6955297,CWB379002571,남흥아파트,522202
35.15355071,128.6951363,CWB379002572,남흥아파트,522201
35.15134716,128.6916154,CWB379002574,이동택지사거리,519201
35.15152843,128.6913092,CWB379002575,이동택지사거리,519202
35.14812207,128.6903474,CWB379002577,에너지환경과학공원입구,518303
35.14796809,128.6902929,CWB379002578,에너지환경과학공원입구,518304
35.14749939,128.6837605,CWB379002579,진해루,518301
35.14721634,128.6837151,CWB379002580,진해루,518302
35.15832782,128.6603101,CWB379002581,여좌동행정복지센터,511306
35.1584742,128.6603908,CWB379002582,여좌동행정복지센터,511305
35.16034209,128.6615458,CWB379002585,여좌마을슈퍼,511502
35.16041017,128.6619308,CWB379002586,여좌마을슈퍼,511501
35.15287036,128.6570433,CWB379002588,북원로터리,519802
35.15308978,128.6570953,CWB379002589,북원로터리,519801
35.1148629,128.7546561,CWB379002590,농업기술센터,514009
35.11479152,128.7548252,CWB379002591,농업기술센터,514008
35.11520529,128.7604443,CWB379002592,호산나노인복지센터,514010
35.11532513,128.7603947,CWB379002593,호산나노인복지센터,514011
35.11517705,128.7657443,CWB379002594,평발마을,514012
35.1153513,128.7660904,CWB379002595,평발마을,514013
35.11505143,128.7688712,CWB379002597,아래평발,514502
35.11529152,128.7692667,CWB379002598,아래평발,514501
35.11893959,128.7753324,CWB379002599,월남마을,514503
35.11883892,128.7754297,CWB379002600,월남마을,514504
35.12031897,128.7784691,CWB379002601,STX아파트,514506
35.12066311,128.778701,CWB379002602,STX아파트,514505
35.12286205,128.7813139,CWB379002604,마천공단입구,502802
35.12277923,128.7815874,CWB379002605,마천공단입구,502801
35.12515745,128.7827154,CWB379002607,웅동,513802
35.12527014,128.7825378,CWB379002608,웅동,513801
35.12416639,128.7851559,CWB379002609,웅동농협앞,513804
