statsYm,admmCd,ctpvNm,sggNm,dongNm,tong,ban,totNmprCnt,maleNmprCnt,femlNmprCnt,male0AgeNmprCnt,male10AgeNmprCnt,male20AgeNmprCnt,male30AgeNmprCnt,male40AgeNmprCnt,male50AgeNmprCnt,male60AgeNmprCnt,male70AgeNmprCnt,male80AgeNmprCnt,male90AgeNmprCnt,male100AgeNmprCnt,feml0AgeNmprCnt,feml10AgeNmprCnt,feml20AgeNmprCnt,feml30AgeNmprCnt,feml40AgeNmprCnt,feml50AgeNmprCnt,feml60AgeNmprCnt,feml70AgeNmprCnt,feml80AgeNmprCnt,feml90AgeNmprCnt,feml100AgeNmprCnt
202604,4812125000,경상남도,창원시 의창구,동읍,1,1,175,93,82,0,1,5,10,11,18,31,16,1,0,0,0,0,5,4,1,17,27,14,11,3,0
202604,4812125000,경상남도,창원시 의창구,동읍,1,2,100,48,52,1,0,2,2,3,6,14,15,5,0,0,0,0,1,2,1,8,14,19,5,2,0
202604,4812125000,경상남도,창원시 의창구,동읍,2,1,145,73,72,1,3,7,5,4,12,26,8,6,1,0,1,3,3,3,7,9,16,19,10,1,0
202604,4812125000,경상남도,창원시 의창구,동읍,3,1,191,104,87,0,2,7,7,11,13,28,26,9,1,0,1,1,0,7,4,15,29,20,9,1,0
202604,4812125000,경상남도,창원시 의창구,동읍,4,1,190,96,94,5,10,2,6,8,19,30,11,5,0,0,2,8,2,6,10,20,26,12,6,2,0
202604,4812125000,경상남도,창원시 의창구,동읍,5,1,234,118,116,1,3,4,9,7,16,41,31,5,1,0,0,3,5,9,6,10,39,31,11,2,0
202604,4812125000,경상남도,창원시 의창구,동읍,6,1,135,81,54,0,3,8,9,11,16,19,10,5,0,0,0,1,3,0,2,11,14,16,7,0,0
202604,4812125000,경상남도,창원시 의창구,동읍,7,1,327,156,171,3,9,7,9,11,33,44,30,10,0,0,1,7,9,7,16,27,46,27,23,8,0
202604,4812125000,경상남도,창원시 의창구,동읍,7,2,930,428,502,4,22,43,18,40,91,120,75,14,1,0,2,24,18,10,37,101,142,119,41,8,0
202604,4812125000,경상남도,창원시 의창구,동읍,7,3,617,311,306,7,41,48,26,40,82,44,19,4,0,0,8,33,28,21,47,82,52,24,11,0,0
202604,4812125000,경상남도,창원시 의창구,동읍,8,1,547,291,256,12,30,28,37,33,59,57,30,4,1,0,10,31,23,18,40,52,42,28,9,3,0
202604,4812125000,경상남도,창원시 의창구,동읍,8,2,1258,613,645,15,62,89,48,70,157,112,45,13,2,0,24,66,42,44,92,172,111,57,31,5,1
202604,4812125000,경상남도,창원시 의창구,동읍,8,3,1235,607,628,11,73,90,45,67,150,116,42,12,1,0,13,69,54,42,82,160,117,59,28,4,0
202604,4812125000,경상남도,창원시 의창구,동읍,9,1,108,56,52,1,2,3,2,4,11,15,17,1,0,0,0,3,5,0,6,11,10,16,1,0,0
202604,4812125000,경상남도,창원시 의창구,동읍,9,2,250,129,121,10,20,10,13,16,25,24,8,3,0,0,6,13,5,9,17,31,25,8,5,2,0
202604,4812125000,경상남도,창원시 의창구,동읍,10,1,229,116,113,1,2,5,7,14,26,36,16,8,1,0,4,4,4,7,8,21,23,24,15,3,0
202604,4812125000,경상남도,창원시 의창구,동읍,10,2,553,284,269,5,20,27,31,30,68,60,33,8,2,0,9,12,26,15,36,70,62,22,13,4,0
202604,4812125000,경상남도,창원시 의창구,동읍,11,1,96,60,36,1,5,3,6,3,9,21,11,1,0,0,0,1,3,3,1,6,15,4,3,0,0
202604,4812125000,경상남도,창원시 의창구,동읍,12,1,968,498,470,26,37,66,57,69,116,73,39,14,1,0,14,32,45,57,59,112,74,50,21,6,0
202604,4812125000,경상남도,창원시 의창구,동읍,12,2,228,118,110,5,7,11,18,11,25,22,9,8,2,0,4,6,11,12,11,23,21,13,8,1,0
202604,4812125000,경상남도,창원시 의창구,동읍,12,3,1253,610,643,19,49,81,52,87,120,118,62,21,1,0,23,63,50,52,83,138,128,69,31,6,0
202604,4812125000,경상남도,창원시 의창구,동읍,12,4,241,138,103,1,14,7,11,16,30,37,15,7,0,0,4,10,6,7,14,24,20,9,8,1,0
202604,4812125000,경상남도,창원시 의창구,동읍,12,5,452,232,220,7,13,14,24,28,53,52,27,14,0,0,6,12,12,11,24,41,56,38,18,2,0
202604,4812125000,경상남도,창원시 의창구,동읍,12,6,1047,529,518,16,39,65,51,50,113,132,48,15,0,0,8,44,42,35,42,125,127,63,29,3,0
202604,4812125000,경상남도,창원시 의창구,동읍,12,7,807,397,410,14,35,62,68,69,72,55,19,3,0,0,31,40,44,57,66,93,52,21,4,2,0
