tago_stop_id,stop_name,sigungu,dong_tago,dong_stcis,n_matches,stcis_sttn_id,excclc_area_cd,sttn_sgg_cd,tcbo_id_sttn,match_tier
CWB379001886,창포,(미상),(미상),,0,,,,,미매칭
CWB379001885,창포,(미상),(미상),,0,,,,,미매칭
CWB379001878,창포마을,(미상),(미상),,0,,,,,미매칭
CWB379005797,풍전가든,(미상),(미상),,0,,,,,미매칭
CWB379005798,풍전가든,(미상),(미상),,0,,,,,미매칭
CWB379006154,청량산터널앞,창원시마산합포구,가포동,가포동,2,4833010,MM10148015,48125,03,동일치
CWB379006154,청량산터널앞,창원시마산합포구,가포동,가포동,2,4833000,MM10148015,48125,03,동일치
CWB379006153,청량산터널앞,창원시마산합포구,가포동,가포동,2,4833010,MM10148015,48125,03,동일치
CWB379006153,청량산터널앞,창원시마산합포구,가포동,가포동,2,4833000,MM10148015,48125,03,동일치
CWB379001018,경남은행연수원,창원시마산합포구,교방동,,0,,,,,미매칭
CWB379001053,노비산입구,창원시마산합포구,교방동,상남동,2,4300170,MM10148000,48125,03,시군구만일치
CWB379001053,노비산입구,창원시마산합포구,교방동,상남동,2,4804700,MM10148015,48125,03,시군구만일치
CWB379001008,롯데캐슬프리미어아파트,창원시마산합포구,교방동,,0,,,,,미매칭
CWB379001047,마산성로원,창원시마산합포구,교방동,교방동,2,4815060,MM10148015,48125,03,동일치
CWB379001047,마산성로원,창원시마산합포구,교방동,교방동,2,4815050,MM10148015,48125,03,동일치
CWB379001054,마산성로원,창원시마산합포구,교방동,교방동,2,4815060,MM10148015,48125,03,동일치
CWB379001054,마산성로원,창원시마산합포구,교방동,교방동,2,4815050,MM10148015,48125,03,동일치
CWB379001088,서원곡입구,창원시마산합포구,교방동,교방동,2,4811310,MM10148015,48125,03,동일치
CWB379001088,서원곡입구,창원시마산합포구,교방동,교방동,2,4811300,MM10148015,48125,03,동일치
CWB379001108,서원곡입구,창원시마산합포구,교방동,교방동,2,4811310,MM10148015,48125,03,동일치
CWB379001108,서원곡입구,창원시마산합포구,교방동,교방동,2,4811300,MM10148015,48125,03,동일치
