정류장명,시군구,읍면동,동내동명N,카카오맵,네이버맵,ARS,stop_id,lat,lon
청량산터널앞,창원시마산합포구,가포동,2,"https://map.kakao.com/link/map/%EC%B2%AD%EB%9F%89%EC%82%B0%ED%84%B0%EB%84%90%EC%95%9E,35.1684454,128.561119",https://map.naver.com/p?lng=128.561119&lat=35.1684454&zoom=18,300638,CWB379006154,35.168445,128.561119
청량산터널앞,창원시마산합포구,가포동,2,"https://map.kakao.com/link/map/%EC%B2%AD%EB%9F%89%EC%82%B0%ED%84%B0%EB%84%90%EC%95%9E,35.1685633,128.560888",https://map.naver.com/p?lng=128.560888&lat=35.1685633&zoom=18,300637,CWB379006153,35.168563,128.560888
문화동,창원시마산합포구,문화동,2,"https://map.kakao.com/link/map/%EB%AC%B8%ED%99%94%EB%8F%99,35.1842462,128.5602673",https://map.naver.com/p?lng=128.5602673&lat=35.1842462&zoom=18,300106,CWB379001394,35.184246,128.560267
문화동,창원시마산합포구,문화동,2,"https://map.kakao.com/link/map/%EB%AC%B8%ED%99%94%EB%8F%99,35.1845804,128.5602312",https://map.naver.com/p?lng=128.5602312&lat=35.1845804&zoom=18,300105,CWB379001392,35.18458,128.560231
연세병원,창원시마산합포구,문화동,1,"https://map.kakao.com/link/map/%EC%97%B0%EC%84%B8%EB%B3%91%EC%9B%90,35.1871762,128.5615655",https://map.naver.com/p?lng=128.5615655&lat=35.1871762&zoom=18,300107,CWB379001376,35.187176,128.561566
제일여고입구,창원시마산합포구,문화동,1,"https://map.kakao.com/link/map/%EC%A0%9C%EC%9D%BC%EC%97%AC%EA%B3%A0%EC%9E%85%EA%B5%AC,35.1876024,128.5620272",https://map.naver.com/p?lng=128.5620272&lat=35.1876024&zoom=18,300110,CWB379001371,35.187602,128.562027
경동메르빌APT,창원시마산합포구,반월중앙동,2,"https://map.kakao.com/link/map/%EA%B2%BD%EB%8F%99%EB%A9%94%EB%A5%B4%EB%B9%8CAPT,35.1947319,128.5667974",https://map.naver.com/p?lng=128.5667974&lat=35.1947319&zoom=18,300116,CWB379001312,35.194732,128.566797
경동메르빌APT,창원시마산합포구,반월중앙동,2,"https://map.kakao.com/link/map/%EA%B2%BD%EB%8F%99%EB%A9%94%EB%A5%B4%EB%B9%8CAPT,35.1947444,128.5665542",https://map.naver.com/p?lng=128.5665542&lat=35.1947444&zoom=18,300113,CWB379001313,35.194744,128.566554
마산합포구청.의료원,창원시마산합포구,반월중앙동,1,"https://map.kakao.com/link/map/%EB%A7%88%EC%82%B0%ED%95%A9%ED%8F%AC%EA%B5%AC%EC%B2%AD.%EC%9D%98%EB%A3%8C%EC%9B%90,35.1983948,128.5673296",https://map.naver.com/p?lng=128.5673296&lat=35.1983948&zoom=18,300118,CWB379001280,35.198395,128.56733
반월민원센터,창원시마산합포구,반월중앙동,2,"https://map.kakao.com/link/map/%EB%B0%98%EC%9B%94%EB%AF%BC%EC%9B%90%EC%84%BC%ED%84%B0,35.1904196,128.5630911",https://map.naver.com/p?lng=128.5630911&lat=35.1904196&zoom=18,300109,CWB379001344,35.19042,128.563091
반월민원센터,창원시마산합포구,반월중앙동,2,"https://map.kakao.com/link/map/%EB%B0%98%EC%9B%94%EB%AF%BC%EC%9B%90%EC%84%BC%ED%84%B0,35.1903211,128.5627258",https://map.naver.com/p?lng=128.5627258&lat=35.1903211&zoom=18,300112,CWB379001347,35.190321,128.562726
