정류장명,시군구,읍면동,동내동명N,카카오맵,네이버맵,ARS,stop_id,lat,lon
창포,(미상),(미상),2,"https://map.kakao.com/link/map/%EC%B0%BD%ED%8F%AC,35.0870437,128.4638131",https://map.naver.com/p?lng=128.4638131&lat=35.0870437&zoom=18,323120,CWB379001886,35.087044,128.463813
창포,(미상),(미상),2,"https://map.kakao.com/link/map/%EC%B0%BD%ED%8F%AC,35.0871957,128.4637094",https://map.naver.com/p?lng=128.4637094&lat=35.0871957&zoom=18,323119,CWB379001885,35.087196,128.463709
창포마을,(미상),(미상),1,"https://map.kakao.com/link/map/%EC%B0%BD%ED%8F%AC%EB%A7%88%EC%9D%84,35.0900404,128.46036",https://map.naver.com/p?lng=128.46036&lat=35.0900404&zoom=18,323122,CWB379001878,35.09004,128.46036
풍전가든,(미상),(미상),2,"https://map.kakao.com/link/map/%ED%92%8D%EC%A0%84%EA%B0%80%EB%93%A0,35.0614947,128.4338667",https://map.naver.com/p?lng=128.4338667&lat=35.0614947&zoom=18,323127,CWB379005797,35.061495,128.433867
풍전가든,(미상),(미상),2,"https://map.kakao.com/link/map/%ED%92%8D%EC%A0%84%EA%B0%80%EB%93%A0,35.0613426,128.4339627",https://map.naver.com/p?lng=128.4339627&lat=35.0613426&zoom=18,323128,CWB379005798,35.061343,128.433963
육호광장,창원시마산합포구,교방동,1,"https://map.kakao.com/link/map/%EC%9C%A1%ED%98%B8%EA%B4%91%EC%9E%A5,35.2135274,128.5760412",https://map.naver.com/p?lng=128.5760412&lat=35.2135274&zoom=18,300125,CWB379001048,35.213527,128.576041
경남대학교,창원시마산합포구,문화동,1,"https://map.kakao.com/link/map/%EA%B2%BD%EB%82%A8%EB%8C%80%ED%95%99%EA%B5%90,35.1824239,128.5593582",https://map.naver.com/p?lng=128.5593582&lat=35.1824239&zoom=18,300104,CWB379001397,35.182424,128.559358
대내주공아파트,창원시마산합포구,문화동,1,"https://map.kakao.com/link/map/%EB%8C%80%EB%82%B4%EC%A3%BC%EA%B3%B5%EC%95%84%ED%8C%8C%ED%8A%B8,35.1812538,128.55854",https://map.naver.com/p?lng=128.55854&lat=35.1812538&zoom=18,300103,CWB379001396,35.181254,128.55854
문화동,창원시마산합포구,문화동,2,"https://map.kakao.com/link/map/%EB%AC%B8%ED%99%94%EB%8F%99,35.1842462,128.5602673",https://map.naver.com/p?lng=128.5602673&lat=35.1842462&zoom=18,300106,CWB379001394,35.184246,128.560267
문화동,창원시마산합포구,문화동,2,"https://map.kakao.com/link/map/%EB%AC%B8%ED%99%94%EB%8F%99,35.1845804,128.5602312",https://map.naver.com/p?lng=128.5602312&lat=35.1845804&zoom=18,300105,CWB379001392,35.18458,128.560231
연세병원,창원시마산합포구,문화동,1,"https://map.kakao.com/link/map/%EC%97%B0%EC%84%B8%EB%B3%91%EC%9B%90,35.1871762,128.5615655",https://map.naver.com/p?lng=128.5615655&lat=35.1871762&zoom=18,300107,CWB379001376,35.187176,128.561566
제일여고입구,창원시마산합포구,문화동,1,"https://map.kakao.com/link/map/%EC%A0%9C%EC%9D%BC%EC%97%AC%EA%B3%A0%EC%9E%85%EA%B5%AC,35.1876024,128.5620272",https://map.naver.com/p?lng=128.5620272&lat=35.1876024&zoom=18,300110,CWB379001371,35.187602,128.562027
경동메르빌APT,창원시마산합포구,반월중앙동,2,"https://map.kakao.com/link/map/%EA%B2%BD%EB%8F%99%EB%A9%94%EB%A5%B4%EB%B9%8CAPT,35.1947319,128.5667974",https://map.naver.com/p?lng=128.5667974&lat=35.1947319&zoom=18,300116,CWB379001312,35.194732,128.566797
경동메르빌APT,창원시마산합포구,반월중앙동,2,"https://map.kakao.com/link/map/%EA%B2%BD%EB%8F%99%EB%A9%94%EB%A5%B4%EB%B9%8CAPT,35.1947444,128.5665542",https://map.naver.com/p?lng=128.5665542&lat=35.1947444&zoom=18,300113,CWB379001313,35.194744,128.566554
마산합포구청.의료원,창원시마산합포구,반월중앙동,1,"https://map.kakao.com/link/map/%EB%A7%88%EC%82%B0%ED%95%A9%ED%8F%AC%EA%B5%AC%EC%B2%AD.%EC%9D%98%EB%A3%8C%EC%9B%90,35.1983948,128.5673296",https://map.naver.com/p?lng=128.5673296&lat=35.1983948&zoom=18,300118,CWB379001280,35.198395,128.56733
반월민원센터,창원시마산합포구,반월중앙동,2,"https://map.kakao.com/link/map/%EB%B0%98%EC%9B%94%EB%AF%BC%EC%9B%90%EC%84%BC%ED%84%B0,35.1904196,128.5630911",https://map.naver.com/p?lng=128.5630911&lat=35.1904196&zoom=18,300109,CWB379001344,35.19042,128.563091
반월민원센터,창원시마산합포구,반월중앙동,2,"https://map.kakao.com/link/map/%EB%B0%98%EC%9B%94%EB%AF%BC%EC%9B%90%EC%84%BC%ED%84%B0,35.1903211,128.5627258",https://map.naver.com/p?lng=128.5627258&lat=35.1903211&zoom=18,300112,CWB379001347,35.190321,128.562726
중부경찰서,창원시마산합포구,반월중앙동,2,"https://map.kakao.com/link/map/%EC%A4%91%EB%B6%80%EA%B2%BD%EC%B0%B0%EC%84%9C,35.192561,128.5650385",https://map.naver.com/p?lng=128.5650385&lat=35.192561&zoom=18,300114,CWB379001331,35.192561,128.565039
중부경찰서,창원시마산합포구,반월중앙동,2,"https://map.kakao.com/link/map/%EC%A4%91%EB%B6%80%EA%B2%BD%EC%B0%B0%EC%84%9C,35.1929213,128.5650943",https://map.naver.com/p?lng=128.5650943&lat=35.1929213&zoom=18,300111,CWB379001328,35.192921,128.565094
산호동,창원시마산합포구,산호동,2,"https://map.kakao.com/link/map/%EC%82%B0%ED%98%B8%EB%8F%99,35.214486,128.5866928",https://map.naver.com/p?lng=128.5866928&lat=35.214486&zoom=18,321920,CWB379001038,35.214486,128.586693
산호동,창원시마산합포구,산호동,2,"https://map.kakao.com/link/map/%EC%82%B0%ED%98%B8%EB%8F%99,35.2146337,128.5865546",https://map.naver.com/p?lng=128.5865546&lat=35.2146337&zoom=18,321921,CWB379001031,35.214634,128.586555
신세계백화점,창원시마산합포구,산호동,2,"https://map.kakao.com/link/map/%EC%8B%A0%EC%84%B8%EA%B3%84%EB%B0%B1%ED%99%94%EC%A0%90,35.2195955,128.5871657",https://map.naver.com/p?lng=128.5871657&lat=35.2195955&zoom=18,321922,CWB379000955,35.219596,128.587166
신세계백화점,창원시마산합포구,산호동,2,"https://map.kakao.com/link/map/%EC%8B%A0%EC%84%B8%EA%B3%84%EB%B0%B1%ED%99%94%EC%A0%90,35.2188747,128.5870619",https://map.naver.com/p?lng=128.5870619&lat=35.2188747&zoom=18,321923,CWB379000951,35.218875,128.587062
KT마산점,창원시마산합포구,오동동,2,"https://map.kakao.com/link/map/KT%EB%A7%88%EC%82%B0%EC%A0%90,35.2028382,128.5703212",https://map.naver.com/p?lng=128.5703212&lat=35.2028382&zoom=18,300126,CWB379001228,35.202838,128.570321
KT마산점,창원시마산합포구,오동동,2,"https://map.kakao.com/link/map/KT%EB%A7%88%EC%82%B0%EC%A0%90,35.202993,128.5708221",https://map.naver.com/p?lng=128.5708221&lat=35.202993&zoom=18,300119,CWB379001224,35.202993,128.570822
경남데파트,창원시마산합포구,오동동,1,"https://map.kakao.com/link/map/%EA%B2%BD%EB%82%A8%EB%8D%B0%ED%8C%8C%ED%8A%B8,35.2014125,128.5675512",https://map.naver.com/p?lng=128.5675512&lat=35.2014125&zoom=18,300124,CWB379001245,35.201412,128.567551
삼성생명,창원시마산합포구,오동동,2,"https://map.kakao.com/link/map/%EC%82%BC%EC%84%B1%EC%83%9D%EB%AA%85,35.2088739,128.5761165",https://map.naver.com/p?lng=128.5761165&lat=35.2088739&zoom=18,307401,CWB379001121,35.208874,128.576117
삼성생명,창원시마산합포구,오동동,2,"https://map.kakao.com/link/map/%EC%82%BC%EC%84%B1%EC%83%9D%EB%AA%85,35.2085043,128.5763874",https://map.naver.com/p?lng=128.5763874&lat=35.2085043&zoom=18,307402,CWB379001134,35.208504,128.576387
어시장,창원시마산합포구,오동동,4,"https://map.kakao.com/link/map/%EC%96%B4%EC%8B%9C%EC%9E%A5,35.2037645,128.576147",https://map.naver.com/p?lng=128.576147&lat=35.2037645&zoom=18,321909,CWB379001215,35.203764,128.576147
어시장,창원시마산합포구,오동동,4,"https://map.kakao.com/link/map/%EC%96%B4%EC%8B%9C%EC%9E%A5,35.2034399,128.5753465",https://map.naver.com/p?lng=128.5753465&lat=35.2034399&zoom=18,321907,CWB379001219,35.20344,128.575346
어시장,창원시마산합포구,오동동,4,"https://map.kakao.com/link/map/%EC%96%B4%EC%8B%9C%EC%9E%A5,35.2036171,128.5755969",https://map.naver.com/p?lng=128.5755969&lat=35.2036171&zoom=18,321908,CWB379001217,35.203617,128.575597
어시장,창원시마산합포구,오동동,4,"https://map.kakao.com/link/map/%EC%96%B4%EC%8B%9C%EC%9E%A5,35.203349,128.5755502",https://map.naver.com/p?lng=128.5755502&lat=35.203349&zoom=18,321906,CWB379001221,35.203349,128.57555
오동교,창원시마산합포구,오동동,1,"https://map.kakao.com/link/map/%EC%98%A4%EB%8F%99%EA%B5%90,35.2079377,128.5812524",https://map.naver.com/p?lng=128.5812524&lat=35.2079377&zoom=18,321915,CWB379001139,35.207938,128.581252
오동동,창원시마산합포구,오동동,1,"https://map.kakao.com/link/map/%EC%98%A4%EB%8F%99%EB%8F%99,35.2064862,128.580014",https://map.naver.com/p?lng=128.580014&lat=35.2064862&zoom=18,321914,CWB379001161,35.206486,128.580014
오동동문화광장,창원시마산합포구,오동동,2,"https://map.kakao.com/link/map/%EC%98%A4%EB%8F%99%EB%8F%99%EB%AC%B8%ED%99%94%EA%B4%91%EC%9E%A5,35.2064552,128.5765016",https://map.naver.com/p?lng=128.5765016&lat=35.2064552&zoom=18,307403,CWB379001166,35.206455,128.576502
