정류장명,시군구,읍면동,동내동명N,카카오맵,네이버맵,ARS,stop_id,lat,lon
창포,(미상),(미상),2,"https://map.kakao.com/link/map/%EC%B0%BD%ED%8F%AC,35.0870437,128.4638131",https://map.naver.com/p?lng=128.4638131&lat=35.0870437&zoom=18,323120,CWB379001886,35.087044,128.463813
창포,(미상),(미상),2,"https://map.kakao.com/link/map/%EC%B0%BD%ED%8F%AC,35.0871957,128.4637094",https://map.naver.com/p?lng=128.4637094&lat=35.0871957&zoom=18,323119,CWB379001885,35.087196,128.463709
창포마을,(미상),(미상),1,"https://map.kakao.com/link/map/%EC%B0%BD%ED%8F%AC%EB%A7%88%EC%9D%84,35.0900404,128.46036",https://map.naver.com/p?lng=128.46036&lat=35.0900404&zoom=18,323122,CWB379001878,35.09004,128.46036
풍전가든,(미상),(미상),2,"https://map.kakao.com/link/map/%ED%92%8D%EC%A0%84%EA%B0%80%EB%93%A0,35.0614947,128.4338667",https://map.naver.com/p?lng=128.4338667&lat=35.0614947&zoom=18,323127,CWB379005797,35.061495,128.433867
풍전가든,(미상),(미상),2,"https://map.kakao.com/link/map/%ED%92%8D%EC%A0%84%EA%B0%80%EB%93%A0,35.0613426,128.4339627",https://map.naver.com/p?lng=128.4339627&lat=35.0613426&zoom=18,323128,CWB379005798,35.061343,128.433963
청량산터널앞,창원시마산합포구,가포동,2,"https://map.kakao.com/link/map/%EC%B2%AD%EB%9F%89%EC%82%B0%ED%84%B0%EB%84%90%EC%95%9E,35.1684454,128.561119",https://map.naver.com/p?lng=128.561119&lat=35.1684454&zoom=18,300638,CWB379006154,35.168445,128.561119
청량산터널앞,창원시마산합포구,가포동,2,"https://map.kakao.com/link/map/%EC%B2%AD%EB%9F%89%EC%82%B0%ED%84%B0%EB%84%90%EC%95%9E,35.1685633,128.560888",https://map.naver.com/p?lng=128.560888&lat=35.1685633&zoom=18,300637,CWB379006153,35.168563,128.560888
경남은행연수원,창원시마산합포구,교방동,1,"https://map.kakao.com/link/map/%EA%B2%BD%EB%82%A8%EC%9D%80%ED%96%89%EC%97%B0%EC%88%98%EC%9B%90,35.2164955,128.5606437",https://map.naver.com/p?lng=128.5606437&lat=35.2164955&zoom=18,406101,CWB379001018,35.216496,128.560644
노비산입구,창원시마산합포구,교방동,1,"https://map.kakao.com/link/map/%EB%85%B8%EB%B9%84%EC%82%B0%EC%9E%85%EA%B5%AC,35.2134164,128.5713262",https://map.naver.com/p?lng=128.5713262&lat=35.2134164&zoom=18,307202,CWB379001053,35.213416,128.571326
롯데캐슬프리미어아파트,창원시마산합포구,교방동,1,"https://map.kakao.com/link/map/%EB%A1%AF%EB%8D%B0%EC%BA%90%EC%8A%AC%ED%94%84%EB%A6%AC%EB%AF%B8%EC%96%B4%EC%95%84%ED%8C%8C%ED%8A%B8,35.216089,128.564477",https://map.naver.com/p?lng=128.564477&lat=35.216089&zoom=18,422901,CWB379001008,35.216089,128.564477
마산성로원,창원시마산합포구,교방동,2,"https://map.kakao.com/link/map/%EB%A7%88%EC%82%B0%EC%84%B1%EB%A1%9C%EC%9B%90,35.2137391,128.5622032",https://map.naver.com/p?lng=128.5622032&lat=35.2137391&zoom=18,306118,CWB379001047,35.213739,128.562203
마산성로원,창원시마산합포구,교방동,2,"https://map.kakao.com/link/map/%EB%A7%88%EC%82%B0%EC%84%B1%EB%A1%9C%EC%9B%90,35.213492,128.5620032",https://map.naver.com/p?lng=128.5620032&lat=35.213492&zoom=18,306117,CWB379001054,35.213492,128.562003
서원곡입구,창원시마산합포구,교방동,2,"https://map.kakao.com/link/map/%EC%84%9C%EC%9B%90%EA%B3%A1%EC%9E%85%EA%B5%AC,35.2114821,128.5632043",https://map.naver.com/p?lng=128.5632043&lat=35.2114821&zoom=18,306116,CWB379001088,35.211482,128.563204
서원곡입구,창원시마산합포구,교방동,2,"https://map.kakao.com/link/map/%EC%84%9C%EC%9B%90%EA%B3%A1%EC%9E%85%EA%B5%AC,35.2113336,128.5629685",https://map.naver.com/p?lng=128.5629685&lat=35.2113336&zoom=18,306115,CWB379001108,35.211334,128.562969
육호광장,창원시마산합포구,교방동,1,"https://map.kakao.com/link/map/%EC%9C%A1%ED%98%B8%EA%B4%91%EC%9E%A5,35.2135274,128.5760412",https://map.naver.com/p?lng=128.5760412&lat=35.2135274&zoom=18,300125,CWB379001048,35.213527,128.576041
합포고등학교,창원시마산합포구,교방동,1,"https://map.kakao.com/link/map/%ED%95%A9%ED%8F%AC%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,35.2086579,128.5636701",https://map.naver.com/p?lng=128.5636701&lat=35.2086579&zoom=18,306120,CWB379003379,35.208658,128.56367
합포주유소,창원시마산합포구,교방동,1,"https://map.kakao.com/link/map/%ED%95%A9%ED%8F%AC%EC%A3%BC%EC%9C%A0%EC%86%8C,35.2123434,128.5715602",https://map.naver.com/p?lng=128.5715602&lat=35.2123434&zoom=18,307201,CWB379001072,35.212343,128.57156
회산교,창원시마산합포구,교방동,1,"https://map.kakao.com/link/map/%ED%9A%8C%EC%82%B0%EA%B5%90,35.2159584,128.5705372",https://map.naver.com/p?lng=128.5705372&lat=35.2159584&zoom=18,407223,CWB379001021,35.215958,128.570537
경남대학교,창원시마산합포구,문화동,2,"https://map.kakao.com/link/map/%EA%B2%BD%EB%82%A8%EB%8C%80%ED%95%99%EA%B5%90,35.1808576,128.5586889",https://map.naver.com/p?lng=128.5586889&lat=35.1808576&zoom=18,300102,CWB379001402,35.180858,128.558689
경남대학교,창원시마산합포구,문화동,2,"https://map.kakao.com/link/map/%EA%B2%BD%EB%82%A8%EB%8C%80%ED%95%99%EA%B5%90,35.1824239,128.5593582",https://map.naver.com/p?lng=128.5593582&lat=35.1824239&zoom=18,300104,CWB379001397,35.182424,128.559358
대내주공아파트,창원시마산합포구,문화동,1,"https://map.kakao.com/link/map/%EB%8C%80%EB%82%B4%EC%A3%BC%EA%B3%B5%EC%95%84%ED%8C%8C%ED%8A%B8,35.1812538,128.55854",https://map.naver.com/p?lng=128.55854&lat=35.1812538&zoom=18,300103,CWB379001396,35.181254,128.55854
문화동,창원시마산합포구,문화동,2,"https://map.kakao.com/link/map/%EB%AC%B8%ED%99%94%EB%8F%99,35.1842462,128.5602673",https://map.naver.com/p?lng=128.5602673&lat=35.1842462&zoom=18,300106,CWB379001394,35.184246,128.560267
문화동,창원시마산합포구,문화동,2,"https://map.kakao.com/link/map/%EB%AC%B8%ED%99%94%EB%8F%99,35.1845804,128.5602312",https://map.naver.com/p?lng=128.5602312&lat=35.1845804&zoom=18,300105,CWB379001392,35.18458,128.560231
연세병원,창원시마산합포구,문화동,2,"https://map.kakao.com/link/map/%EC%97%B0%EC%84%B8%EB%B3%91%EC%9B%90,35.1871762,128.5615655",https://map.naver.com/p?lng=128.5615655&lat=35.1871762&zoom=18,300107,CWB379001376,35.187176,128.561566
연세병원,창원시마산합포구,문화동,2,"https://map.kakao.com/link/map/%EC%97%B0%EC%84%B8%EB%B3%91%EC%9B%90,35.1864975,128.561421",https://map.naver.com/p?lng=128.561421&lat=35.1864975&zoom=18,300108,CWB379001382,35.186498,128.561421
제일여고,창원시마산합포구,문화동,2,"https://map.kakao.com/link/map/%EC%A0%9C%EC%9D%BC%EC%97%AC%EA%B3%A0,35.1879694,128.5575532",https://map.naver.com/p?lng=128.5575532&lat=35.1879694&zoom=18,301104,CWB379001370,35.187969,128.557553
제일여고,창원시마산합포구,문화동,2,"https://map.kakao.com/link/map/%EC%A0%9C%EC%9D%BC%EC%97%AC%EA%B3%A0,35.1880724,128.5574612",https://map.naver.com/p?lng=128.5574612&lat=35.1880724&zoom=18,301103,CWB379001369,35.188072,128.557461
제일여고입구,창원시마산합포구,문화동,1,"https://map.kakao.com/link/map/%EC%A0%9C%EC%9D%BC%EC%97%AC%EA%B3%A0%EC%9E%85%EA%B5%AC,35.1876024,128.5620272",https://map.naver.com/p?lng=128.5620272&lat=35.1876024&zoom=18,300110,CWB379001371,35.187602,128.562027
평화아파트,창원시마산합포구,문화동,2,"https://map.kakao.com/link/map/%ED%8F%89%ED%99%94%EC%95%84%ED%8C%8C%ED%8A%B8,35.1860076,128.5579773",https://map.naver.com/p?lng=128.5579773&lat=35.1860076&zoom=18,301102,CWB379001385,35.186008,128.557977
평화아파트,창원시마산합포구,문화동,2,"https://map.kakao.com/link/map/%ED%8F%89%ED%99%94%EC%95%84%ED%8C%8C%ED%8A%B8,35.1858864,128.5581341",https://map.naver.com/p?lng=128.5581341&lat=35.1858864&zoom=18,301101,CWB379001387,35.185886,128.558134
경남데파트,창원시마산합포구,반월중앙동,1,"https://map.kakao.com/link/map/%EA%B2%BD%EB%82%A8%EB%8D%B0%ED%8C%8C%ED%8A%B8,35.2010176,128.5675358",https://map.naver.com/p?lng=128.5675358&lat=35.2010176&zoom=18,300122,CWB379001254,35.201018,128.567536
경동메르빌APT,창원시마산합포구,반월중앙동,2,"https://map.kakao.com/link/map/%EA%B2%BD%EB%8F%99%EB%A9%94%EB%A5%B4%EB%B9%8CAPT,35.1947319,128.5667974",https://map.naver.com/p?lng=128.5667974&lat=35.1947319&zoom=18,300116,CWB379001312,35.194732,128.566797
경동메르빌APT,창원시마산합포구,반월중앙동,2,"https://map.kakao.com/link/map/%EA%B2%BD%EB%8F%99%EB%A9%94%EB%A5%B4%EB%B9%8CAPT,35.1947444,128.5665542",https://map.naver.com/p?lng=128.5665542&lat=35.1947444&zoom=18,300113,CWB379001313,35.194744,128.566554
마산중앙고등학교,창원시마산합포구,반월중앙동,2,"https://map.kakao.com/link/map/%EB%A7%88%EC%82%B0%EC%A4%91%EC%95%99%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,35.1906504,128.5589862",https://map.naver.com/p?lng=128.5589862&lat=35.1906504&zoom=18,301106,CWB379001343,35.19065,128.558986
