정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
ADB354000001,길안정류장,36.458658,128.891228,2025-10-31,540001,37040,경상북도 안동시,안동BIS
ADB354000002,고란.계명산휴양림입구,36.397708,128.924029,2025-10-31,540002,37040,경상북도 안동시,안동BIS
ADB354000003,금곡리,36.397504,128.926821,2025-10-31,540003,37040,경상북도 안동시,안동BIS
ADB354000004,금소리1,36.509449,128.849671,2025-10-31,540004,37040,경상북도 안동시,안동BIS
ADB354000005,금소리5,36.503629,128.854783,2025-10-31,540005,37040,경상북도 안동시,안동BIS
ADB354000006,마사리,36.30229,128.908016,2025-10-31,540006,37040,경상북도 안동시,안동BIS
ADB354000007,염광교회앞,36.550334,128.769751,2025-10-31,540007,37040,경상북도 안동시,안동BIS
ADB354000008,솔뫼입구,36.541586,128.789484,2025-10-31,540008,37040,경상북도 안동시,안동BIS
ADB354000009,김재규학원,36.530547,128.819486,2025-10-31,540009,37040,경상북도 안동시,안동BIS
ADB354000010,임하신덕교,36.522179,128.834059,2025-10-31,540010,37040,경상북도 안동시,안동BIS
ADB354000011,금소리2,36.504179,128.852704,2025-10-31,540011,37040,경상북도 안동시,안동BIS
ADB354000012,금소리3,36.503718,128.854394,2025-10-31,540012,37040,경상북도 안동시,안동BIS
ADB354000013,샛터,36.496766,128.863448,2025-10-31,540013,37040,경상북도 안동시,안동BIS
ADB354000014,대성그린병원,36.495329,128.864806,2025-10-31,540014,37040,경상북도 안동시,안동BIS
ADB354000015,한국환경공단,36.491068,128.870162,2025-10-31,540015,37040,경상북도 안동시,안동BIS
ADB354000016,나천아름다운마을,36.482117,128.878939,2025-10-31,540016,37040,경상북도 안동시,안동BIS
ADB354000017,오대리입구,36.476255,128.884429,2025-10-31,540017,37040,경상북도 안동시,안동BIS
ADB354000018,고란.계명산휴양림입구,36.408314,128.924959,2025-10-31,540018,37040,경상북도 안동시,안동BIS
ADB354000019,고마실입구,36.397607,128.923843,2025-10-31,540019,37040,경상북도 안동시,안동BIS
ADB354000020,금곡리,36.397589,128.927004,2025-10-31,540020,37040,경상북도 안동시,안동BIS
ADB354000021,만음2리,36.435114,128.905703,2025-10-31,540021,37040,경상북도 안동시,안동BIS
ADB354000022,천지갑산등산로,36.370341,128.941541,2025-10-31,540022,37040,경상북도 안동시,안동BIS
ADB354000023,나천,36.484357,128.87631,2025-10-31,540023,37040,경상북도 안동시,안동BIS
ADB354000024,송사,36.364507,128.927751,2025-10-31,540024,37040,경상북도 안동시,안동BIS
ADB354000025,CGV,36.561367,128.747798,2025-10-31,540025,37040,경상북도 안동시,안동BIS
ADB354000026,계두리,36.310051,128.920068,2025-10-31,540026,37040,경상북도 안동시,안동BIS
ADB354000027,교보생명,36.563225,128.73079,2025-10-31,540027,37040,경상북도 안동시,안동BIS
ADB354000028,국만,36.414407,128.919644,2025-10-31,540028,37040,경상북도 안동시,안동BIS
ADB354000029,금곡(길안),36.394748,128.933102,2025-10-31,540029,37040,경상북도 안동시,안동BIS
ADB354000030,금소,36.507141,128.850396,2025-10-31,540030,37040,경상북도 안동시,안동BIS
ADB354000031,금소리6,36.50425,128.852865,2025-10-31,540031,37040,경상북도 안동시,안동BIS
ADB354000032,김재규학원,36.530781,128.819406,2025-10-31,540032,37040,경상북도 안동시,안동BIS
ADB354000033,대성그린병원,36.495453,128.864647,2025-10-31,540033,37040,경상북도 안동시,안동BIS
ADB354000034,만음,36.43679,128.902115,2025-10-31,540034,37040,경상북도 안동시,안동BIS
ADB354000035,명곡,36.336195,128.926279,2025-10-31,540035,37040,경상북도 안동시,안동BIS
ADB354000036,명덕,36.44118,128.898995,2025-10-31,540036,37040,경상북도 안동시,안동BIS
ADB354000037,묵계,36.416754,128.914605,2025-10-31,540037,37040,경상북도 안동시,안동BIS
ADB354000038,묵계2리,36.431998,128.909757,2025-10-31,540038,37040,경상북도 안동시,안동BIS
ADB354000039,법흥동,36.563972,128.73724,2025-10-31,540039,37040,경상북도 안동시,안동BIS
ADB354000040,샛터,36.497373,128.863337,2025-10-31,540040,37040,경상북도 안동시,안동BIS
ADB354000041,솔뫼마을,36.541605,128.789622,2025-10-31,540041,37040,경상북도 안동시,안동BIS
ADB354000042,송사1리,36.346515,128.925184,2025-10-31,540042,37040,경상북도 안동시,안동BIS
ADB354000043,안동향교,36.549409,128.785485,2025-10-31,540043,37040,경상북도 안동시,안동BIS
ADB354000044,송천동,36.546164,128.787427,2025-10-31,540044,37040,경상북도 안동시,안동BIS
ADB354000045,용상정수장,36.550935,128.765379,2025-10-31,540045,37040,경상북도 안동시,안동BIS
ADB354000046,숲쟁이2길,36.550388,128.770561,2025-10-31,540046,37040,경상북도 안동시,안동BIS
ADB354000047,신덕2리,36.533028,128.815066,2025-10-31,540047,37040,경상북도 안동시,안동BIS
ADB354000048,국립경국대,36.538946,128.795229,2025-10-31,540048,37040,경상북도 안동시,안동BIS
ADB354000049,구 안동역 건너,36.563401,128.734309,2025-10-31,540049,37040,경상북도 안동시,안동BIS
ADB354000050,오대리입구,36.476575,128.884362,2025-10-31,540050,37040,경상북도 안동시,안동BIS
ADB354000051,오락,36.431496,128.910568,2025-10-31,540051,37040,경상북도 안동시,안동BIS
ADB354000052,용마아파트,36.53248,128.796106,2025-10-31,540052,37040,경상북도 안동시,안동BIS
ADB354000053,용상1주공아파트,36.557097,128.754776,2025-10-31,540053,37040,경상북도 안동시,안동BIS
ADB354000054,용상5주공아파트,36.552123,128.762387,2025-10-31,540054,37040,경상북도 안동시,안동BIS
ADB354000055,용상6주공아파트,36.553652,128.760044,2025-10-31,540055,37040,경상북도 안동시,안동BIS
ADB354000056,용상시장,36.559818,128.750558,2025-10-31,540056,37040,경상북도 안동시,안동BIS
ADB354000057,용상우체국,36.555365,128.757448,2025-10-31,540057,37040,경상북도 안동시,안동BIS
